CustomerName,CustomerID,Segment,City,State,Region,Country,PostalCode,OrderID,OrderDate,ShipDate,ShipMode,Sales,Discount,Profit,Quantity,ProductName,Category,SubCategory
Claire Gute,CG-12520,Consumer,Henderson,Kentucky,South,United States,42420,CA-2016-152156,2016-11-08,2016-11-11,Second Class,"261,96","0,0","41,9136",2,Bush Somerset Collection Bookcase,Furniture,Bookcases
Claire Gute,CG-12520,Consumer,Henderson,Kentucky,South,United States,42420,CA-2016-152156,2016-11-08,2016-11-11,Second Class,"731,94","0,0","219,582",3,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Furniture,Chairs
Darrin Van Huff,DV-13045,Corporate,Los Angeles,California,West,United States,90036,CA-2016-138688,2016-06-12,2016-06-16,Second Class,"14,62","0,0","6,8714",2,Self-Adhesive Address Labels for Typewriters by Universal,Office Supplies,Labels
Sean O'Donnell,SO-20335,Consumer,Fort Lauderdale,Florida,South,United States,33311,US-2015-108966,2015-10-11,2015-10-18,Standard Class,"957,5775","0,45","-383,031",5,Bretford CR4500 Series Slim Rectangular Table,Furniture,Tables
Sean O'Donnell,SO-20335,Consumer,Fort Lauderdale,Florida,South,United States,33311,US-2015-108966,2015-10-11,2015-10-18,Standard Class,"22,368","0,2","2,5164",2,Eldon Fold 'N Roll Cart System,Office Supplies,Storage
Brosina Hoffman,BH-11710,Consumer,Los Angeles,California,West,United States,90032,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,"48,86","0,0","14,1694",7,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",Furniture,Furnishings
Brosina Hoffman,BH-11710,Consumer,Los Angeles,California,West,United States,90032,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,"7,28","0,0","1,9656",4,Newell 322,Office Supplies,Art
Brosina Hoffman,BH-11710,Consumer,Los Angeles,California,West,United States,90032,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,"907,152","0,2","90,7152",6,Mitel 5320 IP Phone VoIP phone,Technology,Phones
Brosina Hoffman,BH-11710,Consumer,Los Angeles,California,West,United States,90032,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,"18,504","0,2","5,7825",3,DXL Angle-View Binders with Locking Rings by Samsill,Office Supplies,Binders
Brosina Hoffman,BH-11710,Consumer,Los Angeles,California,West,United States,90032,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,"114,9","0,0","34,47",5,Belkin F5C206VTEL 6 Outlet Surge,Office Supplies,Appliances
